"source_repository","source_package","relationship","target_package","constraint"
"msys","flex","runtime-depends-on","m4",""
"msys","flex","runtime-depends-on","sh",""
"msys","flexc++","runtime-depends-on","libbobcat",">=4.01.00"
"msys","fmt","runtime-depends-on","gcc-libs",""
"msys","gawk","runtime-depends-on","libintl",""
"msys","gawk","runtime-depends-on","libreadline",""
"msys","gawk","runtime-depends-on","mpfr",""
"msys","gawk","runtime-depends-on","sh",""
"msys","gcc","runtime-depends-on","binutils",""
"msys","gcc","runtime-depends-on","gcc-libs","=15.3.0-1"
"msys","gcc","runtime-depends-on","gmp",""
"msys","gcc","runtime-depends-on","isl",""
"msys","gcc","runtime-depends-on","libiconv",""
"msys","gcc","runtime-depends-on","libintl",""
"msys","gcc","runtime-depends-on","mpc",""
"msys","gcc","runtime-depends-on","mpfr",""
"msys","gcc","runtime-depends-on","msys2-runtime-devel",""
"msys","gcc","runtime-depends-on","msys2-w32api-headers",""
"msys","gcc","runtime-depends-on","msys2-w32api-runtime",""
"msys","gcc","runtime-depends-on","windows-default-manifest",""
"msys","gcc","runtime-depends-on","zlib",""
"msys","gdb","runtime-depends-on","gcc-libs",""
"msys","gdb","runtime-depends-on","iconv",""
"msys","gdb","runtime-depends-on","libexpat",""
"msys","gdb","runtime-depends-on","libguile",""
"msys","gdb","runtime-depends-on","libreadline",""
"msys","gdb","runtime-depends-on","mpc",""
"msys","gdb","runtime-depends-on","mpfr",""
"msys","gdb","runtime-depends-on","python",""
"msys","gdb","runtime-depends-on","xxhash",""
"msys","gdb","runtime-depends-on","zlib",""
"msys","gdb","runtime-depends-on","zstd",""
"msys","gdb-multiarch","runtime-depends-on","gdb","=17.1"
"msys","gdbm","runtime-depends-on","libgdbm","=1.26"
"msys","getent","runtime-depends-on","libargp",""
"msys","gettext","runtime-depends-on","libasprintf",""
"msys","gettext","runtime-depends-on","libgettextpo",""
"msys","gettext","runtime-depends-on","libintl",""
"msys","gettext-devel","optional-depends-on","cvs",""
"msys","gettext-devel","runtime-depends-on","gettext","=0.22.5"
"msys","gettext-devel","runtime-depends-on","libiconv-devel",""
"msys","gi-docgen","runtime-depends-on","python",""
"msys","gi-docgen","runtime-depends-on","python-jinja",""
"msys","gi-docgen","runtime-depends-on","python-markdown",""
"msys","gi-docgen","runtime-depends-on","python-markupsafe",""
"msys","gi-docgen","runtime-depends-on","python-packaging",""
"msys","gi-docgen","runtime-depends-on","python-pygments",""
"msys","git","optional-depends-on","python",""
"msys","git","runtime-depends-on","curl",""
"msys","git","runtime-depends-on","libexpat",""
"msys","git","runtime-depends-on","libintl",""
"msys","git","runtime-depends-on","libpcre2_8",""
"msys","git","runtime-depends-on","nano",""
"msys","git","runtime-depends-on","openssh",""
"msys","git","runtime-depends-on","openssl",""
"msys","git","runtime-depends-on","perl",">=5.14.0"
"msys","git","runtime-depends-on","perl-Authen-SASL",""
"msys","git","runtime-depends-on","perl-Error",""
"msys","git","runtime-depends-on","perl-libwww",""
"msys","git","runtime-depends-on","perl-MIME-tools",""
"msys","git","runtime-depends-on","perl-Net-SMTP-SSL",""
"msys","git","runtime-depends-on","perl-TermReadKey",""
"msys","git-crypt","runtime-depends-on","gcc-libs",""
"msys","git-crypt","runtime-depends-on","git",""
"msys","git-crypt","runtime-depends-on","gnupg",""
"msys","git-crypt","runtime-depends-on","openssl",""
"msys","git-crypt","runtime-depends-on","zlib",""
"msys","git-extras","runtime-depends-on","git",""
"msys","git-filter-repo","runtime-depends-on","git",""
"msys","git-filter-repo","runtime-depends-on","python",""
"msys","git-flow","runtime-depends-on","git",""
"msys","git-flow","runtime-depends-on","make",""
"msys","git-flow","runtime-depends-on","util-linux",""
"msys","glib2","runtime-depends-on","libffi",""
"msys","glib2","runtime-depends-on","libiconv",""
"msys","glib2","runtime-depends-on","libintl",""
"msys","glib2","runtime-depends-on","libpcre2_8",""
"msys","glib2","runtime-depends-on","zlib",""
"msys","glib2-devel","optional-depends-on","python",""
"msys","glib2-devel","runtime-depends-on","gettext-devel",""
"msys","glib2-devel","runtime-depends-on","glib2","=2.88.1"
"msys","glib2-devel","runtime-depends-on","libffi-devel",""
"msys","glib2-devel","runtime-depends-on","libiconv-devel",""
"msys","glib2-devel","runtime-depends-on","pcre2-devel",""
"msys","glib2-devel","runtime-depends-on","zlib-devel",""
"msys","global","optional-depends-on","ctags",""
"msys","global","optional-depends-on","python3-pygments",""
"msys","global","runtime-depends-on","libltdl",""
"msys","gmp-devel","runtime-depends-on","gmp","=6.3.0"
"msys","gnu-netcat","runtime-depends-on","info",""
"msys","gnupg","optional-depends-on","curl",""
"msys","gnupg","runtime-depends-on","bzip2",""
"msys","gnupg","runtime-depends-on","libassuan",""
"msys","gnupg","runtime-depends-on","libbz2",""
"msys","gnupg","runtime-depends-on","libcurl",""
"msys","gnupg","runtime-depends-on","libgcrypt",""
"msys","gnupg","runtime-depends-on","libgnutls",""
"msys","gnupg","runtime-depends-on","libgpg-error",""
"msys","gnupg","runtime-depends-on","libiconv",""
"msys","gnupg","runtime-depends-on","libintl",""
"msys","gnupg","runtime-depends-on","libksba",""
"msys","gnupg","runtime-depends-on","libnpth",""
"msys","gnupg","runtime-depends-on","libreadline",""
"msys","gnupg","runtime-depends-on","libsqlite",""
"msys","gnupg","runtime-depends-on","nettle",""
"msys","gnupg","runtime-depends-on","pinentry",""
"msys","gnupg","runtime-depends-on","zlib",""
"msys","gnutls","runtime-depends-on","libgnutls","=3.8.13"
"msys","gperf","runtime-depends-on","gcc-libs",""
"msys","gperf","runtime-depends-on","info",""
"msys","gradle-doc","optional-depends-on","gradle",""
"msys","grep","runtime-depends-on","libiconv",""
"msys","grep","runtime-depends-on","libintl",""
"msys","grep","runtime-depends-on","libpcre",""
"msys","grep","runtime-depends-on","sh",""
"msys","grml-zsh-config","runtime-depends-on","coreutils",""
"msys","grml-zsh-config","runtime-depends-on","grep",""
"msys","grml-zsh-config","runtime-depends-on","procps-ng",""
"msys","grml-zsh-config","runtime-depends-on","sed",""
"msys","grml-zsh-config","runtime-depends-on","zsh",""
"msys","groff","runtime-depends-on","gcc-libs",""
"msys","groff","runtime-depends-on","perl",""
"msys","gtest","runtime-depends-on","gcc-libs",""
"msys","gtest","runtime-depends-on","sh",""
"msys","gtk-doc","runtime-depends-on","docbook-xml",""
"msys","gtk-doc","runtime-depends-on","docbook-xsl",""
"msys","gtk-doc","runtime-depends-on","glib2",""
"msys","gtk-doc","runtime-depends-on","python",""
"msys","gtk-doc","runtime-depends-on","python-lxml",""
"msys","gtk-doc","runtime-depends-on","python-pygments",""
"msys","guile","runtime-depends-on","libguile","=3.0.11"
"msys","guile-mqtt","runtime-depends-on","guile",""
"msys","guile-mqtt","runtime-depends-on","mosquitto",""
"msys","gyp","runtime-depends-on","python",""
"msys","gyp","runtime-depends-on","python-six",""
"msys","gzip","runtime-depends-on","bash",""
"msys","gzip","runtime-depends-on","less",""
"msys","heimdal","runtime-depends-on","heimdal-libs",""
"msys","heimdal-devel","runtime-depends-on","heimdal-libs",""
"msys","heimdal-devel","runtime-depends-on","libdb-devel",""
"msys","heimdal-devel","runtime-depends-on","libedit-devel",""
"msys","heimdal-devel","runtime-depends-on","libsqlite-devel",""
"msys","heimdal-devel","runtime-depends-on","libxcrypt-devel",""
"msys","heimdal-libs","runtime-depends-on","libdb",""
"msys","heimdal-libs","runtime-depends-on","libedit",""
"msys","heimdal-libs","runtime-depends-on","libopenssl",""
"msys","heimdal-libs","runtime-depends-on","libsqlite",""
"msys","heimdal-libs","runtime-depends-on","libxcrypt",""
"msys","help2man","runtime-depends-on","libintl",""
"msys","help2man","runtime-depends-on","perl-Locale-Gettext",""
"msys","hexcurse","runtime-depends-on","ncurses",""
"msys","iconv","runtime-depends-on","gcc-libs",""
"msys","iconv","runtime-depends-on","libiconv","=1.19"
"msys","iconv","runtime-depends-on","libintl",""
"msys","icu","runtime-depends-on","gcc-libs",""
"msys","icu-devel","runtime-depends-on","icu","=78.1"
"msys","idutils","runtime-depends-on","libintl",""
"msys","inetutils","runtime-depends-on","gcc-libs",""
"msys","inetutils","runtime-depends-on","libintl",""
"msys","inetutils","runtime-depends-on","libreadline",""
"msys","inetutils","runtime-depends-on","ncurses",""
"msys","info","runtime-depends-on","gzip",""
"msys","info","runtime-depends-on","libintl",""
"msys","info","runtime-depends-on","libxcrypt",""
"msys","info","runtime-depends-on","ncurses",""
"msys","intltool","runtime-depends-on","perl-XML-Parser",""
"msys","iperf","runtime-depends-on","gcc-libs",""
"msys","iperf3","runtime-depends-on","gcc-libs",""
"msys","iperf3","runtime-depends-on","openssl",""
"msys","irssi","optional-depends-on","perl-libwww",""
"msys","irssi","runtime-depends-on","gettext",""
"msys","irssi","runtime-depends-on","glib2",""
