"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"mingw32","mingw-w64-i686-gobject-introspection","1.86.0-4","False","","any","mingw-package","Introspection system for GObject-based libraries (mingw-w64)","","spdx:LGPL-2.0-only","https://gi.readthedocs.io/","mingw-w64-i686-gobject-introspection-runtime=1.86.0;mingw-w64-i686-gettext-runtime;mingw-w64-i686-glib2;mingw-w64-i686-libffi;mingw-w64-i686-python;mingw-w64-i686-python-mako;mingw-w64-i686-python-markdown;mingw-w64-i686-python-setuptools","","","","","615.44 KiB","3950.24 KiB","Mon Jan 26 06:33:30 2026"
"mingw32","mingw-w64-i686-gobject-introspection-runtime","1.86.0-4","False","","any","mingw-package","Introspection system for GObject-based libraries - runtime files (mingw-w64)","","spdx:LGPL-2.0-only","https://gi.readthedocs.io/","mingw-w64-i686-glib2;mingw-w64-i686-libffi","","","","","146.54 KiB","604.12 KiB","Mon Jan 26 06:33:30 2026"
"mingw32","mingw-w64-i686-gperf","3.3-1","False","","any","mingw-package","Perfect hash function generator (mingw-w64)","","spdx:GPL-3.0","https://www.gnu.org/software/gperf/","mingw-w64-i686-cc-libs","","","","","142.63 KiB","352.40 KiB","Sat Jul 26 10:07:33 2025"
"mingw32","mingw-w64-i686-graphite2","1.3.15-1","False","","any","mingw-package","Font rendering capabilities for complex non-Roman writing systems (mingw-w64)","","spdx:LGPL-2.1-or-later","https://github.com/silnrsi/graphite","mingw-w64-i686-cc-libs","","","","","160.11 KiB","624.23 KiB","Wed Jun  3 17:19:25 2026"
"mingw32","mingw-w64-i686-gtest","1.17.0-2","False","","any","mingw-package","Google Testing and Mocking Framework (mingw-w64)","","spdx:BSD-3-Clause","https://github.com/google/googletest","mingw-w64-i686-cc-libs","","","","","558.03 KiB","3650.51 KiB","Fri Jul 31 13:47:46 2026"
"mingw32","mingw-w64-i686-gtk-doc","1.36.1-1","False","","any","mingw-package","Documentation tool for public library API (mingw-w64)","","spdx:GPL-2.0-or-later;AND;GFDL-1.1-or-later","https://docs.gtk.org/","mingw-w64-i686-docbook-xml;mingw-w64-i686-docbook-xsl;mingw-w64-i686-libxslt;mingw-w64-i686-python;mingw-w64-i686-python-pygments","","","","","147.21 KiB","1248.53 KiB","Wed Jul  8 12:50:48 2026"
"mingw32","mingw-w64-i686-harfbuzz","14.3.0-1","False","","any","mingw-package","OpenType text shaping engine (mingw-w64)","","spdx:MIT","https://harfbuzz.github.io/","mingw-w64-i686-freetype;mingw-w64-i686-cc-libs;mingw-w64-i686-glib2;mingw-w64-i686-graphite2;mingw-w64-i686-libpng;mingw-w64-i686-zlib","","","","","2.21 MiB","16.57 MiB","Fri Jul 31 14:38:28 2026"
"mingw32","mingw-w64-i686-headers","14.0.0.r248.g7735a1a63-1","False","","any","mingw-package","MinGW-w64 headers for Windows (mingw-w64)","mingw-w64-i686-toolchain","spdx:ZPL-2.1;AND;LGPL-2.1-or-later","https://www.mingw-w64.org/","","","mingw-w64-i686-headers-git=14.0.0.r248.g7735a1a63","mingw-w64-i686-headers-git","mingw-w64-i686-headers-git","6.57 MiB","91.43 MiB","Mon Aug  3 02:40:48 2026"
"mingw32","mingw-w64-i686-iconv","1.19-1","False","","any","mingw-package","Character encoding conversion utility (mingw-w64)","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/libiconv/","mingw-w64-i686-libiconv=1.19-1;mingw-w64-i686-gettext-runtime","","","","","98.82 KiB","383.13 KiB","Sat Mar 14 03:45:34 2026"
"mingw32","mingw-w64-i686-isl","0.28-1","False","","any","mingw-package","Library for manipulating sets and relations of integer points bounded by linear constraints (mingw-w64)","","spdx:MIT","https://libisl.sourceforge.io/","mingw-w64-i686-gmp","","","","","1585.77 KiB","13695.57 KiB","Sun Jul 12 16:57:35 2026"
"mingw32","mingw-w64-i686-itstool","2.0.7-3","False","","any","mingw-package","XML to PO and back again (mingw-w64)","","spdx:GPL-3.0-or-later","https://itstool.org/","mingw-w64-i686-python;mingw-w64-i686-python-lxml","","","","","116.31 KiB","363.78 KiB","Fri Oct 24 01:50:45 2025"
"mingw32","mingw-w64-i686-jbigkit","2.1-5","False","","any","mingw-package","Data compression library/utilities for bi-level high-resolution images (mingw-w64)","","spdx:GPL-2.0","https://www.cl.cam.ac.uk/~mgk25/jbigkit/","mingw-w64-i686-gcc-libs","","","","","107.82 KiB","468.83 KiB","Fri Aug 18 04:49:02 2023"
"mingw32","mingw-w64-i686-json-c","0.19-2","False","","any","mingw-package","A JSON implementation in C (mingw-w64)","","spdx:MIT","https://github.com/json-c/json-c","mingw-w64-i686-cc-libs","","","","","110.60 KiB","473.39 KiB","Tue Aug  4 03:42:15 2026"
"mingw32","mingw-w64-i686-jsoncpp","1.9.6-3","False","","any","mingw-package","A C++ library for interacting with JSON (mingw-w64)","","spdx:MIT","https://github.com/open-source-parsers/jsoncpp","mingw-w64-i686-gcc-libs","","","","","199.54 KiB","1122.67 KiB","Tue Nov 19 09:08:06 2024"
"mingw32","mingw-w64-i686-ladspa-sdk","1.17-1","False","","any","mingw-package","Linux Audio Developer's Simple Plugin API (LADSPA) SDK (mingw-w64)","","LGPL","https://www.ladspa.org/","","","","","","10.70 KiB","26.95 KiB","Sat Sep 18 05:43:39 2021"
"mingw32","mingw-w64-i686-lame","3.100-3","False","","any","mingw-package","A high quality MPEG Audio Layer III (MP3) encoder (mingw-w64)","","LGPL","https://lame.sourceforge.io/","mingw-w64-i686-libiconv","","","","","341.92 KiB","1678.13 KiB","Mon Feb  6 11:43:45 2023"
"mingw32","mingw-w64-i686-lerc","4.1.1-1","False","","any","mingw-package","Limited Error Raster Compression library (mingw-w64)","","spdx:Apache-2.0","https://github.com/Esri/lerc","mingw-w64-i686-cc-libs","","","","","319.00 KiB","1979.90 KiB","Tue Jul  7 02:04:45 2026"
"mingw32","mingw-w64-i686-libarchive","3.8.9-1","False","","any","mingw-package","Multi-format archive and compression library (mingw-w64)","","spdx:BSD-2-Clause","https://www.libarchive.org/","mingw-w64-i686-cc-libs;mingw-w64-i686-bzip2;mingw-w64-i686-expat;mingw-w64-i686-libb2;mingw-w64-i686-libiconv;mingw-w64-i686-lz4;mingw-w64-i686-openssl;mingw-w64-i686-pcre2;mingw-w64-i686-xz;mingw-w64-i686-zlib;mingw-w64-i686-zstd","","","","","2.11 MiB","5.08 MiB","Fri Jul 31 16:34:37 2026"
"mingw32","mingw-w64-i686-libb2","0.98.1-3","False","","any","mingw-package","C library providing BLAKE2b, BLAKE2s, BLAKE2bp, BLAKE2sp hash functions (mingw-w64)","","custom:CC0","https://blake2.net/","mingw-w64-i686-cc-libs","","","","","25.60 KiB","94.30 KiB","Mon Sep  1 07:12:35 2025"
"mingw32","mingw-w64-i686-libdeflate","1.25-1","False","","any","mingw-package","Heavily optimized library for DEFLATE/zlib/gzip compression and decompression (mingw-w64)","","spdx:MIT","https://github.com/ebiggers/libdeflate","","","","","","94.47 KiB","388.53 KiB","Mon Nov  3 13:00:32 2025"
