repository,name,version,installed,installed_version,architecture,classification,description,groups,licenses,project_url,required_dependencies,optional_dependencies,provides,conflicts,replaces,download_size,installed_size,build_date
ucrt64,mingw-w64-ucrt-x86_64-python-svglib,1.6.0-3,False,,any,mingw-package,Read SVG files and convert them to other formats (mingw-w64),,spdx:LGPL-3.0-only,https://github.com/deeplook/svglib,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-cssselect2;mingw-w64-ucrt-x86_64-python-lxml;mingw-w64-ucrt-x86_64-python-reportlab;mingw-w64-ucrt-x86_64-python-rlpycairo;mingw-w64-ucrt-x86_64-python-tinycss2,,,,,120272,543871,1769486699
ucrt64,mingw-w64-ucrt-x86_64-python-sympy,1.14.0-3,False,,any,mingw-package,"Symbolic manipulation package (Computer Algebra System), written in pure Python (mingw-w64)",,spdx:BSD-3-Clause,https://www.sympy.org/en/index.html,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-mpmath,mingw-w64-ucrt-x86_64-python-ipython: user friendly interface for isympy,,,,14611747,106532341,1769438099
ucrt64,mingw-w64-ucrt-x86_64-python-tabulate,0.10.0-1,False,,any,mingw-package,"Pretty-print tabular data in Python, a library and a command-line utility. (mingw-w64)",,spdx:MIT,https://github.com/astanin/python-tabulate,mingw-w64-ucrt-x86_64-python,mingw-w64-ucrt-x86_64-python-numpy: NumPy array support;mingw-w64-ucrt-x86_64-python-pandas: pandas DataFrame support;mingw-w64-ucrt-x86_64-python-wcwidth: wide-character support,,,,107900,488185,1772743020
ucrt64,mingw-w64-ucrt-x86_64-python-tempita,1~0.6.0-3,False,,any,mingw-package,A lightweight unicode templating language (mingw-w64),,spdx:MIT,https://github.com/TurboGears/tempita,mingw-w64-ucrt-x86_64-python,,,,,39843,174820,1769434833
ucrt64,mingw-w64-ucrt-x86_64-python-termcolor,3.3.0-1,False,,any,mingw-package,ANSII Color formatting for output in terminal (mingw-w64),,spdx:MIT,https://github.com/termcolor/termcolor,mingw-w64-ucrt-x86_64-python,,,,,13176,42109,1769993249
ucrt64,mingw-w64-ucrt-x86_64-python-terminado,0.18.1-4,False,,any,mingw-package,Terminals served to term.js using Tornado websockets (mingw-w64),,spdx:BSD-2-Clause,https://github.com/jupyter/terminado,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-tornado;mingw-w64-ucrt-x86_64-python-pywinpty,,,,,28292,116818,1769463320
ucrt64,mingw-w64-ucrt-x86_64-python-test2ref,1.1.1-1,False,,any,mingw-package,Python Testing Against Learned Reference Data,,spdx:MIT,https://github.com/nbiotcloud/test2ref,mingw-w64-ucrt-x86_64-python-binaryornot,,,,,14969,53501,1772097901
ucrt64,mingw-w64-ucrt-x86_64-python-testpath,0.6.0-5,False,,any,mingw-package,Test utilities for code working with files and commands (mingw-w64),,spdx:MIT,https://github.com/jupyter/testpath,mingw-w64-ucrt-x86_64-python,,,,,18731,78274,1769427246
ucrt64,mingw-w64-ucrt-x86_64-python-testrepository,0.0.22-1,False,,any,mingw-package,A repository of test results. (mingw-w64),,spdx: Apache-2.0 OR BSD-3-Clause,https://launchpad.net/testrepository,mingw-w64-ucrt-x86_64-python-fixtures;mingw-w64-ucrt-x86_64-python-subunit;mingw-w64-ucrt-x86_64-python-testtools,,,,,216199,1351303,1769858371
ucrt64,mingw-w64-ucrt-x86_64-python-testresources,2.0.2-3,False,,any,mingw-package,"Testresources, a pyunit extension for managing expensive test resources (mingw-w64)",,spdx:Apache-2.0 AND BSD-3-Clause,https://launchpad.net/testresources,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-pbr,,,,,64514,415597,1769460666
ucrt64,mingw-w64-ucrt-x86_64-python-testscenarios,0.5.0-9,False,,any,mingw-package,"Testscenarios, a pyunit extension for dependency injection (mingw-w64)",,Apache,https://launchpad.net/testscenarios,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-testtools,,,,,25576,128785,1769460564
ucrt64,mingw-w64-ucrt-x86_64-python-testtools,2.9.1-1,False,,any,mingw-package,Extensions to the Python standard library unit testing framework (mingw-w64),,spdx:MIT,https://testtools.readthedocs.io/,mingw-w64-ucrt-x86_64-python,mingw-w64-ucrt-x86_64-python-twisted: for twisted support;mingw-w64-ucrt-x86_64-python-fixtures: for twisted support,,,,241658,1588446,1785171788
ucrt64,mingw-w64-ucrt-x86_64-python-text-unidecode,1.3-9,False,,any,mingw-package,The most basic Text::Unidecode port (mingw-w64),,PerlArtistic,https://github.com/kmike/text-unidecode,mingw-w64-ucrt-x86_64-python,,,,,61419,323477,1769434745
ucrt64,mingw-w64-ucrt-x86_64-python-textdistance,4.6.3-4,False,,any,mingw-package,Compute distance between the two texts. (mingw-w64),,spdx:MIT,https://github.com/life4/textdistance,mingw-w64-ucrt-x86_64-python,,,,,71914,396949,1769434485
ucrt64,mingw-w64-ucrt-x86_64-python-texttable,1.7.0-4,False,,any,mingw-package,Python module to create simple ASCII tables (mingw-w64),,spdx:MIT,https://pypi.org/project/texttable/,mingw-w64-ucrt-x86_64-python,,,,,21815,97112,1769434406
ucrt64,mingw-w64-ucrt-x86_64-python-threadpoolctl,3.6.0-3,False,,any,mingw-package,Python helpers to limit the number of threads used in native libraries that handle their own internal threadpool (mingw-w64),,spdx:BSD-3-Clause,https://github.com/joblib/threadpoolctl,mingw-w64-ucrt-x86_64-python,,,,,37848,186953,1769427172
ucrt64,mingw-w64-ucrt-x86_64-python-three-merge,0.1.1-7,False,,any,mingw-package,Simple library for merging two strings with respect to a base one (mingw-w64),,spdx:MIT,https://github.com/spyder-ide/three-merge,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-diff-match-patch,,,,,10122,36628,1769447520
ucrt64,mingw-w64-ucrt-x86_64-python-tifffile,2026.7.14-1,False,,any,mingw-package,Read and write image data from and to TIFF files (mingw-w64),,spdx:BSD-3-Clause,https://github.com/cgohlke/tifffile,mingw-w64-ucrt-x86_64-python-numpy,"mingw-w64-ucrt-x86_64-python-imagecodecs: required only for encoding or decoding LZW, JPEG, etc.;mingw-w64-ucrt-x86_64-python-matplotlib: required only for plotting;mingw-w64-ucrt-x86_64-python-lxml: required only for validating and printing XML",,,,640896,4318752,1784302876
